job_id,title,company_name,company_industry,company_size,city,district,job_category,salary_min_k,salary_max_k,salary_raw,experience_years_min,experience_years_max,education,skills,responsibilities,requirements,nice_to_haves,benefits,employment_type,headcount,source,source_url,published_at,is_active
JOB-0001,中级AI产品经理,绿洲医疗数据,医疗健康,100-499人,上海,浦东新区,产品,18,35,18-35K·13薪,0,2,大专,AI产品设计;需求分析;原型设计;A/B测试;用户研究,围绕业务目标建设产品能力，沉淀数据、流程和工具，提升交付效率和质量。,熟悉岗位相关工具和方法，有完整项目经验，重视质量、文档和复盘。,有从0到1项目经历、开源贡献或技术博客优先。,五险一金;弹性工作;年度体检,全职,2,synthetic_local_csv,https://example.local/jobs/JOB-0001,2026-07-01,true
JOB-0002,高级机器学习工程师,远岚供应链,物流供应链,1000-9999人,深圳,福田区,算法,24,48,24-48K·13薪,1,3,硕士,Python;PyTorch;机器学习;特征工程;模型评估,参与核心系统或项目的方案设计、开发实施、上线验证和后续迭代。,具备良好的问题拆解能力，能够在不确定需求下整理边界并推进落地。,熟悉招聘、人力资源或企业服务行业场景优先。,补充医疗;餐补;交通补贴,全职,3,synthetic_local_csv,https://example.local/jobs/JOB-0002,2026-07-02,true
JOB-0003,资深NLP算法工程师,星河智能科技,人工智能,100-499人,杭州,滨江区,算法,29,56,29-56K·13薪,2,4,大专,NLP;Transformer;文本分类;信息抽取;PyTorch,根据业务场景拆解问题，输出可执行方案，并跟踪关键指标变化。,有数据意识和基础工程素养，能与跨职能团队协作完成交付。,有英文文档阅读能力或跨团队协作经验优先。,股票期权;绩效奖金;技术分享,全职,4,synthetic_local_csv,https://example.local/jobs/JOB-0003,2026-07-03,true
JOB-0004,LLM应用工程师,北辰机器人,智能制造,500-999人,武汉,光谷,AI应用,30,57,30-57K·13薪,3,5,不限,LangChain;RAG;Prompt Engineering;Python;向量数据库,负责AI应用相关需求的分析、设计、落地与持续优化，和产品、研发、业务团队协作推进项目交付。,具备3年以上相关经验，理解AI应用常见工作流程，能够独立推进任务并清晰沟通。,有AI工具、自动化流程或数据平台项目经验优先。,远程办公;学习预算;团队建设,全职,5,synthetic_local_csv,https://example.local/jobs/JOB-0004,2026-07-04,true
JOB-0005,初级数据分析师,拾贝内容科技,内容社区,50-99人,厦门,思明区,数据,20,37,20-37K·13薪,4,6,大专,SQL;Python;数据看板;指标体系;Excel,围绕业务目标建设数据能力，沉淀数据、流程和工具，提升交付效率和质量。,熟悉岗位相关工具和方法，有完整项目经验，重视质量、文档和复盘。,有从0到1项目经历、开源贡献或技术博客优先。,五险一金;周末双休;带薪年假,全职,1,synthetic_local_csv,https://example.local/jobs/JOB-0005,2026-07-05,true
JOB-0006,中级数据工程师,云帆数据服务,大数据,50-99人,北京,朝阳区,数据,18,35,18-35K·13薪,5,7,本科,SQL;Spark;ETL;Airflow;数据仓库,参与核心系统或项目的方案设计、开发实施、上线验证和后续迭代。,具备良好的问题拆解能力，能够在不确定需求下整理边界并推进落地。,熟悉招聘、人力资源或企业服务行业场景优先。,五险一金;弹性工作;年度体检,全职,2,synthetic_local_csv,https://example.local/jobs/JOB-0006,2026-07-06,true
JOB-0007,高级后端开发工程师,墨竹网络,互联网,20-49人,深圳,南山区,后端,18,38,18-38K·13薪,0,2,硕士,Python;FastAPI;MySQL;Redis;REST API,根据业务场景拆解问题，输出可执行方案，并跟踪关键指标变化。,有数据意识和基础工程素养，能与跨职能团队协作完成交付。,有英文文档阅读能力或跨团队协作经验优先。,补充医疗;餐补;交通补贴,全职,3,synthetic_local_csv,https://example.local/jobs/JOB-0007,2026-07-07,true
JOB-0008,资深Python开发工程师,方舟工业软件,工业软件,100-499人,杭州,西湖区,后端,18,36,18-36K·13薪,1,3,不限,Python;Flask;爬虫;SQLAlchemy;Linux,负责后端相关需求的分析、设计、落地与持续优化，和产品、研发、业务团队协作推进项目交付。,具备1年以上相关经验，理解后端常见工作流程，能够独立推进任务并清晰沟通。,有AI工具、自动化流程或数据平台项目经验优先。,股票期权;绩效奖金;技术分享,全职,4,synthetic_local_csv,https://example.local/jobs/JOB-0008,2026-07-08,true
JOB-0009,前端开发工程师,启明软件,企业服务,100-499人,南京,雨花台区,前端,20,41,20-41K·13薪,2,4,大专,Vue;React;TypeScript;CSS;前端工程化,围绕业务目标建设前端能力，沉淀数据、流程和工具，提升交付效率和质量。,熟悉岗位相关工具和方法，有完整项目经验，重视质量、文档和复盘。,有从0到1项目经历、开源贡献或技术博客优先。,远程办公;学习预算;团队建设,全职,5,synthetic_local_csv,https://example.local/jobs/JOB-0009,2026-07-09,true
JOB-0010,初级测试开发工程师,灵犀算法实验室,人工智能,20-49人,苏州,工业园区,测试,21,40,21-40K·13薪,3,5,本科,Pytest;自动化测试;接口测试;CI/CD;质量保障,参与核心系统或项目的方案设计、开发实施、上线验证和后续迭代。,具备良好的问题拆解能力，能够在不确定需求下整理边界并推进落地。,熟悉招聘、人力资源或企业服务行业场景优先。,五险一金;周末双休;带薪年假,全职,1,synthetic_local_csv,https://example.local/jobs/JOB-0010,2026-07-10,true
